Epoch: 38 | Pedestrian: 0.21934196205431564
Epoch: 38 | Cyclist: 0.19967408261783307
Epoch: 39 | Car: 0.3700153611941118
Epoch: 39 | Pedestrian: 0.2141531421260306
Epoch: 39 | Cyclist: 0.1963075234891347
Epoch: 40 | Car: 0.411607320042541
Epoch: 40 | Pedestrian: 0.21157897800240064
Epoch: 40 | Cyclist: 0.20597032014904437
Epoch: 41 | Car: 0.3914539337876343
Epoch: 41 | Pedestrian: 0.2123074419031077
Epoch: 41 | Cyclist: 0.20621566228987664
Epoch: 42 | Car: 0.3716670013211753
Epoch: 42 | Pedestrian: 0.21690780178006966
Epoch: 42 | Cyclist: 0.2160927623612051
Epoch: 43 | Car: 0.42246139484777556
Epoch: 43 | Pedestrian: 0.23863638734813333
Epoch: 43 | Cyclist: 0.2256219797985753
Epoch: 44 | Car: 0.3589639130457125
Epoch: 44 | Pedestrian: 0.22203039579595923
Epoch: 44 | Cyclist: 0.20694865501429358
Epoch: 45 | Car: 0.4181447537651475
Epoch: 45 | Pedestrian: 0.24556344493565851
Epoch: 45 | Cyclist: 0.23031184642789848
Epoch: 46 | Car: 0.3568679817779558
Epoch: 46 | Pedestrian: 0.21638846277637608
Epoch: 46 | Cyclist: 0.18192172780452845
Epoch: 47 | Car: 0.356034785039314
Epoch: 47 | Pedestrian: 0.2107928138035734
Epoch: 47 | Cyclist: 0.19968853509515153
Epoch: 48 | Car: 0.39104254901889
Epoch: 48 | Pedestrian: 0.23386842394910595
Epoch: 48 | Cyclist: 0.21680902300510346
Epoch: 49 | Car: 0.3510746775978817
Epoch: 49 | Pedestrian: 0.24302959045467903
Epoch: 49 | Cyclist: 0.2243701126895691
